day,state,num_cases
2020-3-3,CA,45
2020-3-4,CA,55
2020-3-5,CA,67
2020-3-6,CA,81
2020-3-7,CA,100
2020-3-8,CA,112
2020-3-9,CA,172
2020-3-10,CA,179
2020-3-11,CA,202
2020-3-12,CA,252
2020-3-13,CA,320
2020-3-14,CA,381
2020-3-15,CA,478
2020-3-16,CA,588
2020-3-17,CA,732
2020-3-18,CA,893
2020-3-19,CA,1067
2020-3-20,CA,1283
2020-3-21,CA,1544
2020-3-22,CA,1851
2020-3-23,CA,2240
2020-3-24,CA,2644
2020-3-25,CA,3183
2020-3-26,CA,4060
2020-3-27,CA,4914
2020-3-28,CA,5565
2020-3-29,CA,6266
2020-3-30,CA,7421
2020-3-31,CA,8582
2020-4-1,CA,9816
2020-4-2,CA,11190
2020-4-3,CA,12569
2020-4-4,CA,13796
2020-4-5,CA,15076
2020-4-6,CA,16284
2020-4-7,CA,17540
2020-4-8,CA,19043
2020-4-9,CA,20191
2020-4-10,CA,21366
2020-4-11,CA,22421
2020-4-12,CA,23323
2020-4-13,CA,24334
2020-4-14,CA,25758
2020-4-15,CA,27107
2020-4-16,CA,28142
2020-4-17,CA,29398
2020-4-18,CA,30829
2020-4-19,CA,31544
2020-4-20,CA,33862
2020-4-21,CA,35844
2020-4-22,CA,37573
2020-4-23,CA,39534
2020-4-24,CA,41368
2020-4-25,CA,42590
2020-4-26,CA,43691
2020-4-27,CA,45208
2020-4-28,CA,46570
2020-4-29,CA,48904
2020-4-30,CA,50470
2020-5-1,CA,52318
2020-5-2,CA,53753
2020-5-3,CA,55072
2020-5-4,CA,56333
2020-5-5,CA,58848
2020-5-6,CA,60787
2020-5-7,CA,62481
2020-5-8,CA,64616
2020-5-9,CA,66824
2020-5-10,CA,68051
2020-1-25,GA,0
2020-1-26,GA,0
2020-1-27,GA,0
2020-1-28,GA,0
2020-1-29,GA,0
2020-1-30,GA,0
2020-1-31,GA,0
2020-2-1,GA,0
2020-2-2,GA,0
2020-2-3,GA,0
2020-2-4,GA,0
2020-2-5,GA,0
2020-2-6,GA,0
2020-2-7,GA,0
2020-2-8,GA,0
2020-2-9,GA,0
2020-2-10,GA,0
2020-2-11,GA,0
2020-2-12,GA,0
2020-2-13,GA,0
2020-2-14,GA,0
2020-2-15,GA,0
2020-2-16,GA,0
2020-2-17,GA,0
2020-2-18,GA,0
2020-2-19,GA,0
2020-2-20,GA,0
2020-2-21,GA,0
2020-2-22,GA,0
2020-2-23,GA,0
2020-2-24,GA,0
2020-2-25,GA,0
2020-2-26,GA,0
2020-2-27,GA,0
2020-2-28,GA,0
2020-2-29,GA,0
2020-3-1,GA,0
2020-3-2,GA,2
2020-3-3,GA,2
2020-3-4,GA,2
2020-3-5,GA,2
2020-3-6,GA,3
2020-3-7,GA,7
2020-3-8,GA,11
2020-3-9,GA,17
2020-3-10,GA,22
2020-3-11,GA,31
2020-3-12,GA,31
2020-3-13,GA,41
2020-3-14,GA,65
2020-3-15,GA,97
2020-3-16,GA,118
2020-3-17,GA,142
2020-3-18,GA,193
2020-3-19,GA,282
2020-3-20,GA,482
2020-3-21,GA,552
2020-3-22,GA,620
2020-3-23,GA,800
2020-3-24,GA,1095
2020-3-25,GA,1385
2020-3-26,GA,1641
2020-3-27,GA,2198
2020-3-28,GA,2447
2020-3-29,GA,2683
2020-3-30,GA,3032
2020-3-31,GA,4116
2020-4-1,GA,4747
2020-4-2,GA,5444
2020-4-3,GA,5967
2020-4-4,GA,6383
2020-4-5,GA,6742
2020-4-6,GA,7558
2020-4-7,GA,9156
2020-4-8,GA,10204
2020-4-9,GA,10885
2020-4-10,GA,11859
2020-4-11,GA,12261
2020-4-12,GA,12103
2020-4-13,GA,13125
2020-4-14,GA,13913
2020-4-15,GA,14583
2020-4-16,GA,15644
2020-4-17,GA,16658
2020-4-18,GA,17014
2020-4-19,GA,17619
2020-4-20,GA,18447
2020-4-21,GA,19189
2020-4-22,GA,20099
2020-4-23,GA,20905
2020-4-24,GA,21575
2020-4-25,GA,22225
2020-4-26,GA,22459
2020-4-27,GA,23229
2020-4-28,GA,23607
2020-4-29,GA,24300
2020-4-30,GA,25431
2020-5-1,GA,26436
2020-5-2,GA,27268
2020-5-3,GA,27618
2020-5-4,GA,28350
2020-5-5,GA,28876
2020-5-6,GA,29724
2020-5-7,GA,30524
2020-5-8,GA,31089
2020-5-9,GA,31481
2020-5-10,GA,32267
2020-1-25,CT,0
2020-1-26,CT,0
2020-1-27,CT,0
2020-1-28,CT,0
2020-1-29,CT,0
2020-1-30,CT,0
2020-1-31,CT,0
2020-2-1,CT,0
2020-2-2,CT,0
2020-2-3,CT,0
2020-2-4,CT,0
2020-2-5,CT,0
2020-2-6,CT,0
2020-2-7,CT,0
2020-2-8,CT,0
2020-2-9,CT,0
2020-2-10,CT,0
2020-2-11,CT,0
2020-2-12,CT,0
2020-2-13,CT,0
2020-2-14,CT,0
2020-2-15,CT,0
2020-2-16,CT,0
2020-2-17,CT,0
2020-2-18,CT,0
2020-2-19,CT,0
2020-2-20,CT,0
2020-2-21,CT,0
2020-2-22,CT,0
2020-2-23,CT,0
2020-2-24,CT,0
2020-2-25,CT,0
2020-2-26,CT,0
2020-2-27,CT,0
2020-2-28,CT,0
2020-2-29,CT,0
2020-3-1,CT,0
2020-3-2,CT,0
2020-3-3,CT,0
2020-3-4,CT,0
2020-3-5,CT,0
2020-3-6,CT,0
2020-3-7,CT,0
2020-3-8,CT,1
2020-3-9,CT,2
2020-3-10,CT,2
2020-3-11,CT,3
2020-3-12,CT,6
2020-3-13,CT,11
2020-3-14,CT,20
2020-3-15,CT,26
2020-3-16,CT,41
2020-3-17,CT,68
2020-3-18,CT,96
2020-3-19,CT,159
2020-3-20,CT,194
2020-3-21,CT,223
2020-3-22,CT,327
2020-3-23,CT,415
2020-3-24,CT,618
2020-3-25,CT,875
2020-3-26,CT,1012
2020-3-27,CT,1291
2020-3-28,CT,1524
2020-3-29,CT,1993
2020-3-30,CT,2571
2020-3-31,CT,3128
2020-4-1,CT,3557
2020-4-2,CT,3824
2020-4-3,CT,4915
2020-4-4,CT,5276
2020-4-5,CT,5675
2020-4-6,CT,6906
2020-4-7,CT,7781
2020-4-8,CT,8781
2020-4-9,CT,9784
2020-4-10,CT,10538
2020-4-11,CT,11510
2020-4-12,CT,12035
2020-4-13,CT,13381
2020-4-14,CT,13989
2020-4-15,CT,14755
2020-4-16,CT,15884
2020-4-17,CT,16809
2020-4-18,CT,17550
2020-4-19,CT,17962
2020-4-20,CT,19815
2020-4-21,CT,20360
2020-4-22,CT,22469
2020-4-23,CT,23100
2020-4-24,CT,23921
2020-4-25,CT,24582
2020-4-26,CT,25269
2020-4-27,CT,25997
2020-4-28,CT,26312
2020-4-29,CT,26767
2020-4-30,CT,27700
2020-5-1,CT,28764
2020-5-2,CT,29287
2020-5-3,CT,29287
2020-5-4,CT,29973
2020-5-5,CT,30621
2020-5-6,CT,30995
2020-5-7,CT,31784
2020-5-8,CT,32411
2020-5-9,CT,32984
2020-5-10,CT,33554
2020-1-25,NM,0
2020-1-26,NM,0
2020-1-27,NM,0
2020-1-28,NM,0
2020-1-29,NM,0
2020-1-30,NM,0
2020-1-31,NM,0
2020-2-1,NM,0
2020-2-2,NM,0
2020-2-3,NM,0
2020-2-4,NM,0
2020-2-5,NM,0
2020-2-6,NM,0
2020-2-7,NM,0
2020-2-8,NM,0
2020-2-9,NM,0
2020-2-10,NM,0
2020-2-11,NM,0
2020-2-12,NM,0
2020-2-13,NM,0
2020-2-14,NM,0
2020-2-15,NM,0
2020-2-16,NM,0
2020-2-17,NM,0
2020-2-18,NM,0
2020-2-19,NM,0
2020-2-20,NM,0
2020-2-21,NM,0
2020-2-22,NM,0
2020-2-23,NM,0
2020-2-24,NM,0
2020-2-25,NM,0
2020-2-26,NM,0
2020-2-27,NM,0
2020-2-28,NM,0
2020-2-29,NM,0
2020-3-1,NM,0
2020-3-2,NM,0
2020-3-3,NM,0
2020-3-4,NM,0
2020-3-5,NM,0
2020-3-6,NM,0
2020-3-7,NM,0
2020-3-8,NM,0
2020-3-9,NM,0
2020-3-10,NM,0
2020-3-11,NM,4
2020-3-12,NM,6
2020-3-13,NM,10
2020-3-14,NM,13
2020-3-15,NM,17
2020-3-16,NM,21
2020-3-17,NM,23
2020-3-18,NM,28
2020-3-19,NM,35
2020-3-20,NM,43
