day,state,num_deaths
2020-2-17,FL,0
2020-2-18,FL,0
2020-2-19,FL,0
2020-2-20,FL,0
2020-2-21,FL,0
2020-2-22,FL,0
2020-2-23,FL,0
2020-2-24,FL,0
2020-2-25,FL,0
2020-2-26,FL,0
2020-2-27,FL,0
2020-2-28,FL,0
2020-2-29,FL,0
2020-3-1,FL,0
2020-3-2,FL,0
2020-3-3,FL,0
2020-3-4,FL,0
2020-3-5,FL,0
2020-3-6,FL,2
2020-3-7,FL,2
2020-3-8,FL,2
2020-3-9,FL,2
2020-3-10,FL,2
2020-3-11,FL,2
2020-3-12,FL,2
2020-3-13,FL,2
2020-3-14,FL,3
2020-3-15,FL,3
2020-3-16,FL,4
2020-3-17,FL,6
2020-3-18,FL,7
2020-3-19,FL,8
2020-3-20,FL,9
2020-3-21,FL,11
2020-3-22,FL,13
2020-3-23,FL,18
2020-3-24,FL,19
2020-3-25,FL,23
2020-3-26,FL,29
2020-3-27,FL,46
2020-3-28,FL,56
2020-3-29,FL,59
2020-3-30,FL,71
2020-3-31,FL,85
2020-4-1,FL,100
2020-4-2,FL,144
2020-4-3,FL,169
2020-4-4,FL,194
2020-4-5,FL,220
2020-4-6,FL,253
2020-4-7,FL,295
2020-4-8,FL,322
2020-4-9,FL,370
2020-4-10,FL,418
2020-4-11,FL,445
2020-4-12,FL,460
2020-4-13,FL,498
2020-4-14,FL,570
2020-4-15,FL,613
2020-4-16,FL,667
2020-4-17,FL,725
2020-4-18,FL,747
2020-4-19,FL,773
2020-4-20,FL,822
2020-4-21,FL,866
2020-4-22,FL,926
2020-4-23,FL,986
2020-4-24,FL,1045
2020-4-25,FL,1054
2020-4-26,FL,1073
2020-4-27,FL,1087
2020-4-28,FL,1170
2020-4-29,FL,1216
2020-4-30,FL,1267
2020-5-1,FL,1313
2020-5-2,FL,1363
2020-5-3,FL,1378
2020-5-4,FL,1398
2020-5-5,FL,1470
2020-5-6,FL,1538
2020-5-7,FL,1599
2020-5-8,FL,1668
2020-5-9,FL,1714
2020-5-10,FL,1720
2020-1-25,CA,0
2020-1-26,CA,0
2020-1-27,CA,0
2020-1-28,CA,0
2020-1-29,CA,0
2020-1-30,CA,0
2020-1-31,CA,0
2020-2-1,CA,0
2020-2-2,CA,0
2020-2-3,CA,0
2020-2-4,CA,0
2020-2-5,CA,0
2020-2-6,CA,0
2020-2-7,CA,0
2020-2-8,CA,0
2020-2-9,CA,0
2020-2-10,CA,0
2020-2-11,CA,0
2020-2-12,CA,0
2020-2-13,CA,0
2020-2-14,CA,0
2020-2-15,CA,0
2020-2-16,CA,0
2020-2-17,CA,0
2020-2-18,CA,0
2020-2-19,CA,0
2020-2-20,CA,0
2020-2-21,CA,0
2020-2-22,CA,0
2020-2-23,CA,0
2020-2-24,CA,0
2020-2-25,CA,0
2020-2-26,CA,0
2020-2-27,CA,0
2020-2-28,CA,0
2020-2-29,CA,0
2020-3-1,CA,0
2020-3-2,CA,0
2020-3-3,CA,0
2020-3-4,CA,1
2020-3-5,CA,1
2020-3-6,CA,1
2020-3-7,CA,1
2020-3-8,CA,1
2020-3-9,CA,2
2020-3-10,CA,3
2020-3-11,CA,4
2020-3-12,CA,4
2020-3-13,CA,5
2020-3-14,CA,5
2020-3-15,CA,6
2020-3-16,CA,11
2020-3-17,CA,14
2020-3-18,CA,17
2020-3-19,CA,19
2020-3-20,CA,24
2020-3-21,CA,28
2020-3-22,CA,35
2020-3-23,CA,39
2020-3-24,CA,52
2020-3-25,CA,67
2020-3-26,CA,82
2020-3-27,CA,102
2020-3-28,CA,121
2020-3-29,CA,130
2020-3-30,CA,146
2020-3-31,CA,183
2020-4-1,CA,212
2020-4-2,CA,247
2020-4-3,CA,282
2020-4-4,CA,323
2020-4-5,CA,349
2020-4-6,CA,386
2020-4-7,CA,447
2020-4-8,CA,506
2020-4-9,CA,548
2020-4-10,CA,594
2020-4-11,CA,632
2020-4-12,CA,676
2020-4-13,CA,725
2020-4-14,CA,778
2020-4-15,CA,885
2020-4-16,CA,971
2020-4-17,CA,1050
2020-4-18,CA,1146
2020-4-19,CA,1176
2020-4-20,CA,1223
2020-4-21,CA,1316
2020-4-22,CA,1425
2020-4-23,CA,1548
2020-4-24,CA,1619
2020-4-25,CA,1692
2020-4-26,CA,1716
2020-4-27,CA,1800
2020-4-28,CA,1884
2020-4-29,CA,1961
2020-4-30,CA,2057
2020-5-1,CA,2147
2020-5-2,CA,2213
2020-5-3,CA,2235
2020-5-4,CA,2297
2020-5-5,CA,2386
2020-5-6,CA,2478
