day,state,death_rates
2020-5-10,UT,0.010718285074388097
2020-1-25,ME,0
2020-1-26,ME,0
2020-1-27,ME,0
2020-1-28,ME,0
2020-1-29,ME,0
2020-1-30,ME,0
2020-1-31,ME,0
2020-2-1,ME,0
2020-2-2,ME,0
2020-2-3,ME,0
2020-2-4,ME,0
2020-2-5,ME,0
2020-2-6,ME,0
2020-2-7,ME,0
2020-2-8,ME,0
2020-2-9,ME,0
2020-2-10,ME,0
2020-2-11,ME,0
2020-2-12,ME,0
2020-2-13,ME,0
2020-2-14,ME,0
2020-2-15,ME,0
2020-2-16,ME,0
2020-2-17,ME,0
2020-2-18,ME,0
2020-2-19,ME,0
2020-2-20,ME,0
2020-2-21,ME,0
2020-2-22,ME,0
2020-2-23,ME,0
2020-2-24,ME,0
2020-2-25,ME,0
2020-2-26,ME,0
2020-2-27,ME,0
2020-2-28,ME,0
2020-2-29,ME,0
2020-3-1,ME,0
2020-3-2,ME,0
2020-3-3,ME,0
2020-3-4,ME,0
2020-3-5,ME,0
2020-3-6,ME,0
2020-3-7,ME,0
2020-3-8,ME,0
2020-3-9,ME,0
2020-3-10,ME,0
2020-3-11,ME,0
2020-3-12,ME,0.0
2020-3-13,ME,0.0
2020-3-14,ME,0.0
2020-3-15,ME,0.0
2020-3-16,ME,0.0
2020-3-17,ME,0.0
2020-3-18,ME,0.0
2020-3-19,ME,0.0
2020-3-20,ME,0.0
2020-3-21,ME,0.0
2020-3-22,ME,0.0
2020-3-23,ME,0.0
2020-3-24,ME,0.0
2020-3-25,ME,0.0
2020-3-26,ME,0.0
2020-3-27,ME,0.005952380952380952
2020-3-28,ME,0.004739336492890996
2020-3-29,ME,0.011857707509881422
2020-3-30,ME,0.01090909090909091
2020-3-31,ME,0.0165016501650165
2020-4-1,ME,0.020348837209302327
2020-4-2,ME,0.018617021276595744
2020-4-3,ME,0.020833333333333332
2020-4-4,ME,0.021929824561403508
2020-4-5,ME,0.02127659574468085
2020-4-6,ME,0.02004008016032064
2020-4-7,ME,0.023121387283236993
2020-4-8,ME,0.0260707635009311
2020-4-9,ME,0.02857142857142857
2020-4-10,ME,0.02901023890784983
2020-4-11,ME,0.030844155844155844
2020-4-12,ME,0.030015797788309637
2020-4-13,ME,0.027220630372492838
2020-4-14,ME,0.027247956403269755
2020-4-15,ME,0.03116883116883117
2020-4-16,ME,0.03391959798994975
2020-4-17,ME,0.03506650544135429
2020-4-18,ME,0.03778040141676505
