day,state,num_deaths
2020-1-31,CA,0
2020-2-1,CA,0
2020-2-2,CA,0
2020-2-3,CA,0
2020-2-4,CA,0
2020-2-5,CA,0
2020-2-6,CA,0
2020-2-7,CA,0
2020-2-8,CA,0
2020-2-9,CA,0
2020-2-10,CA,0
2020-2-11,CA,0
2020-2-12,CA,0
2020-2-13,CA,0
2020-2-14,CA,0
2020-2-15,CA,0
2020-2-16,CA,0
2020-2-17,CA,0
2020-2-18,CA,0
2020-2-19,CA,0
2020-2-20,CA,0
2020-2-21,CA,0
2020-2-22,CA,0
2020-2-23,CA,0
2020-2-24,CA,0
2020-2-25,CA,0
2020-2-26,CA,0
2020-2-27,CA,0
2020-2-28,CA,0
2020-2-29,CA,0
2020-3-1,CA,0
2020-3-2,CA,0
2020-3-3,CA,0
2020-3-4,CA,1
2020-3-5,CA,0
2020-3-6,CA,0
2020-3-7,CA,0
2020-3-8,CA,0
2020-3-9,CA,1
2020-3-10,CA,1
2020-3-11,CA,1
2020-3-12,CA,0
2020-3-13,CA,1
2020-3-14,CA,0
2020-3-15,CA,1
2020-3-16,CA,5
2020-3-17,CA,3
2020-3-18,CA,3
2020-3-19,CA,2
2020-3-20,CA,5
2020-3-21,CA,4
2020-3-22,CA,7
2020-3-23,CA,4
2020-3-24,CA,13
2020-3-25,CA,15
2020-3-26,CA,15
2020-3-27,CA,20
2020-3-28,CA,19
2020-3-29,CA,9
2020-3-30,CA,16
2020-3-31,CA,37
2020-4-1,CA,29
2020-4-2,CA,35
2020-4-3,CA,35
2020-4-4,CA,41
2020-4-5,CA,26
2020-4-6,CA,37
2020-4-7,CA,61
2020-4-8,CA,59
2020-4-9,CA,42
2020-4-10,CA,46
2020-4-11,CA,38
2020-4-12,CA,44
2020-4-13,CA,49
2020-4-14,CA,53
2020-4-15,CA,107
2020-4-16,CA,86
2020-4-17,CA,79
2020-4-18,CA,96
2020-4-19,CA,30
2020-4-20,CA,47
2020-4-21,CA,93
2020-4-22,CA,109
2020-4-23,CA,123
2020-4-24,CA,71
2020-4-25,CA,73
2020-4-26,CA,24
2020-4-27,CA,84
2020-4-28,CA,84
2020-4-29,CA,77
2020-4-30,CA,96
2020-5-1,CA,90
2020-5-2,CA,66
2020-5-3,CA,22
2020-5-4,CA,62
2020-5-5,CA,89
2020-5-6,CA,92
2020-5-7,CA,83
2020-5-8,CA,89
2020-5-9,CA,82
2020-5-10,CA,37
2020-1-25,GA,0
2020-1-26,GA,0
2020-1-27,GA,0
2020-1-28,GA,0
2020-1-29,GA,0
2020-1-30,GA,0
2020-1-31,GA,0
2020-2-1,GA,0
2020-2-2,GA,0
2020-2-3,GA,0
2020-2-4,GA,0
2020-2-5,GA,0
2020-2-6,GA,0
2020-2-7,GA,0
2020-2-8,GA,0
2020-2-9,GA,0
2020-2-10,GA,0
2020-2-11,GA,0
2020-2-12,GA,0
2020-2-13,GA,0
2020-2-14,GA,0
2020-2-15,GA,0
2020-2-16,GA,0
2020-2-17,GA,0
2020-2-18,GA,0
2020-2-19,GA,0
2020-2-20,GA,0
2020-2-21,GA,0
2020-2-22,GA,0
2020-2-23,GA,0
2020-2-24,GA,0
2020-2-25,GA,0
2020-2-26,GA,0
2020-2-27,GA,0
2020-2-28,GA,0
2020-2-29,GA,0
2020-3-1,GA,0
2020-3-2,GA,0
2020-3-3,GA,0
2020-3-4,GA,0
2020-3-5,GA,0
2020-3-6,GA,0
2020-3-7,GA,0
2020-3-8,GA,0
2020-3-9,GA,0
2020-3-10,GA,0
2020-3-11,GA,0
2020-3-12,GA,1
2020-3-13,GA,0
2020-3-14,GA,0
2020-3-15,GA,0
2020-3-16,GA,0
2020-3-17,GA,0
2020-3-18,GA,2
2020-3-19,GA,7
2020-3-20,GA,4
2020-3-21,GA,6
2020-3-22,GA,5
2020-3-23,GA,0
2020-3-24,GA,13
2020-3-25,GA,9
2020-3-26,GA,9
2020-3-27,GA,8
2020-3-28,GA,15
2020-3-29,GA,4
2020-3-30,GA,19
2020-3-31,GA,23
2020-4-1,GA,29
2020-4-2,GA,22
2020-4-3,GA,22
2020-4-4,GA,10
2020-4-5,GA,11
2020-4-6,GA,75
2020-4-7,GA,54
2020-4-8,GA,22
2020-4-9,GA,42
2020-4-10,GA,13
2020-4-11,GA,7
2020-4-12,GA,6
2020-4-13,GA,41
2020-4-14,GA,38
2020-4-15,GA,52
2020-4-16,GA,42
2020-4-17,GA,50
2020-4-18,GA,9
2020-4-19,GA,12
2020-4-20,GA,85
2020-4-21,GA,43
2020-4-22,GA,27
2020-4-23,GA,34
2020-4-24,GA,18
2020-4-25,GA,8
2020-4-26,GA,10
2020-4-27,GA,74
2020-4-28,GA,41
2020-4-29,GA,64
2020-4-30,GA,35
2020-5-1,GA,32
2020-5-2,GA,8
2020-5-3,GA,7
2020-5-4,GA,60
2020-5-5,GA,49
2020-5-6,GA,32
2020-5-7,GA,24
2020-5-8,GA,45
2020-5-9,GA,2
2020-5-10,GA,3
2020-1-25,CT,0
2020-1-26,CT,0
2020-1-27,CT,0
2020-1-28,CT,0
2020-1-29,CT,0
2020-1-30,CT,0
2020-1-31,CT,0
2020-2-1,CT,0
2020-2-2,CT,0
2020-2-3,CT,0
2020-2-4,CT,0
2020-2-5,CT,0
2020-2-6,CT,0
2020-2-7,CT,0
2020-2-8,CT,0
2020-2-9,CT,0
2020-2-10,CT,0
2020-2-11,CT,0
2020-2-12,CT,0
2020-2-13,CT,0
2020-2-14,CT,0
2020-2-15,CT,0
2020-2-16,CT,0
2020-2-17,CT,0
2020-2-18,CT,0
2020-2-19,CT,0
2020-2-20,CT,0
2020-2-21,CT,0
2020-2-22,CT,0
2020-2-23,CT,0
2020-2-24,CT,0
2020-2-25,CT,0
2020-2-26,CT,0
2020-2-27,CT,0
2020-2-28,CT,0
2020-2-29,CT,0
2020-3-1,CT,0
2020-3-2,CT,0
2020-3-3,CT,0
2020-3-4,CT,0
2020-3-5,CT,0
2020-3-6,CT,0
2020-3-7,CT,0
2020-3-8,CT,0
2020-3-9,CT,0
2020-3-10,CT,0
2020-3-11,CT,0
2020-3-12,CT,0
2020-3-13,CT,0
2020-3-14,CT,0
2020-3-15,CT,0
2020-3-16,CT,0
2020-3-17,CT,0
2020-3-18,CT,1
2020-3-19,CT,3
2020-3-20,CT,0
2020-3-21,CT,1
2020-3-22,CT,3
2020-3-23,CT,2
2020-3-24,CT,2
2020-3-25,CT,7
2020-3-26,CT,2
2020-3-27,CT,6
2020-3-28,CT,6
2020-3-29,CT,1
2020-3-30,CT,2
2020-3-31,CT,33
2020-4-1,CT,16
2020-4-2,CT,27
2020-4-3,CT,20
2020-4-4,CT,33
2020-4-5,CT,24
2020-4-6,CT,17
2020-4-7,CT,71
2020-4-8,CT,58
2020-4-9,CT,45
2020-4-10,CT,68
2020-4-11,CT,46
2020-4-12,CT,60
2020-4-13,CT,48
2020-4-14,CT,69
2020-4-15,CT,197
2020-4-16,CT,103
2020-4-17,CT,65
2020-4-18,CT,50
2020-4-19,CT,41
2020-4-20,CT,204
